"","S","R","stock","region","t"
"820",7189190,16700000,18,4,19
"821",12059000,2.3e+07,18,4,20
"822",10774680,1.8e+07,18,4,21
"823",7291100,12800000,18,4,22
"824",10120,14400,19,9,10
"825",33570,47720,19,9,11
"826",34650,47440,19,9,12
"827",6970,15600,19,9,13
"828",12450,60940,19,9,14
"829",36800,44390,20,13,5
"830",503000,885310,20,13,6
"831",160000,217870,20,13,7
"832",269000,452320,20,13,8
"833",42000,57840,20,13,9
"834",104000,136440,20,13,10
"835",46500,67880,20,13,11
"836",12500,17810,20,13,12
"837",44000,77650,20,13,13
"838",37100,65930,20,13,14
"839",6450,11060,20,13,15
"840",25000,28550,20,13,16
"841",63800,91240,20,13,17
"842",62100,72020,20,13,18
"843",60800,105520,20,13,19
"844",118200,150760,20,13,20
"845",35330,36790,20,13,21
"846",31290,35270,20,13,22
"847",39000,109210,21,14,12
"848",36000,75100,21,14,13
"849",45000,155240,21,14,14
"850",210000,304130,21,14,15
"851",90000,101370,21,14,16
"852",225000,227280,21,14,17
"853",6000,6120,21,14,18
"854",60600,65630,21,14,19
"855",24150,24210,21,14,20
"856",8000,5000,23,7,9
"857",73000,101100,23,7,10
"858",10200,18100,23,7,11
"859",50000,50000,23,7,12
"860",82000,88200,23,7,13
"861",227000,281700,23,7,14
"862",126900,192900,23,7,15
"863",10400,10700,23,7,16
"864",21900,21900,23,7,17
"865",93900,164500,23,7,18
"866",573000,829600,23,7,19
"867",112500,157600,23,7,20
"868",185800,185900,23,7,21
"869",499900,662700,23,7,22
"870",652090,1750620,24,8,16
"871",971070,1539520,24,8,17
"872",679850,1943550,24,8,18
"873",2713100,2713100,24,8,19
"874",1174530,7343530,24,8,20
"875",1305560,6718960,24,8,21
"876",2665430,11286430,24,8,22
"877",243520,427260,25,8,16
"878",437380,698430,25,8,17
"879",530400,756600,25,8,18
"880",3977020,3977020,25,8,19
"881",1142000,2308000,25,8,20
"882",459410,1825110,25,8,21
"883",767730,1463730,25,8,22
"884",604580,2172910,26,8,16
"885",581260,2260820,26,8,17
"886",542530,1944530,26,8,18
"887",4298630,4298630,26,8,19
"888",1221850,6212850,26,8,20
"889",1169190,10248890,26,8,21
"890",2680000,20891000,26,8,22
"891",119520,266300,27,10,11
"892",85380,203850,27,10,12
"893",152960,230060,27,10,13
"894",219400,1566810,27,10,14
"895",255420,534300,27,10,15
"896",230200,388440,27,10,16
"897",332240,1781050,27,10,17
"898",149260,260270,27,10,18
"899",181760,181760,27,10,19
"900",247890,247890,27,10,20
